%caldt,t90ret
19850131,0.00691
19850228,0.005883
19850329,0.007605
19850430,0.008704
19850531,0.008218
19850628,0.006252
19850731,0.006215
19850830,0.006586
19850930,0.00632
19851031,0.006042
19851129,0.006066
19851231,0.007308
19860131,0.006297
19860228,0.005387
19860331,0.007228
19860430,0.005942
19860530,0.004998
19860630,0.006052
19860731,0.005578
19860829,0.005879
19860930,0.004522
19861031,0.00485
19861128,0.003898
19861231,0.00487
19870130,0.004961
19870227,0.004654
19870331,0.005245
19870430,0.00541
19870529,0.004554
19870630,0.005619
19870731,0.00479
19870831,0.005215
19870930,0.004621
19871030,0.008572
19871130,0.005902
19871231,0.004921
19880129,0.005001
19880229,0.005349
19880331,0.004803
19880429,0.004554
19880531,0.005027
19880630,0.005473
19880729,0.00498
19880831,0.005813
19880930,0.006366
19881031,0.0066
19881130,0.005817
19881230,0.006759
19890131,0.00729
19890228,0.006145
19890331,0.007611
19890428,0.007917
19890531,0.007703
19890630,0.008402
19890731,0.007313
19890831,0.006757
19890929,0.006565
19891031,0.007657
19891130,0.006956
19891229,0.006462
19900131,0.007025
19900228,0.00597
19900330,0.006457
19900430,0.007226
19900531,0.007192
19900629,0.0065
19900731,0.007401
19900831,0.006726
19900928,0.006269
19901031,0.006638
19901130,0.0065
19901231,0.007378
19910131,0.006225
19910228,0.00515
19910328,0.005189
19910430,0.006082
19910531,0.004892
19910628,0.004511
19910731,0.005221
19910830,0.005137
19910930,0.004981
19911031,0.005029
19911129,0.004846
19911231,0.004796
19920131,0.003505
19920228,0.002851
19920331,0.003454
19920430,0.00411
19920529,0.003122
19920630,0.003652
19920731,0.003894
19920831,0.002884
19920930,0.003376
19921030,0.002093
19921130,0.002163
19921231,0.003378
19930129,0.002874
19930226,0.002229
19930331,0.00289
19930430,0.00247
19930528,0.002168
19930630,0.003041
19930730,0.002675
19930831,0.002867
19930930,0.00271
19931029,0.002431
19931130,0.00264
19931231,0.003012
19940131,0.002867
19940228,0.001882
19940331,0.00294
19940429,0.002473
19940531,0.003416
19940630,0.003998
19940729,0.003666
19940831,0.003755
19940930,0.003784
19941031,0.004242
19941130,0.003882
19941230,0.005058
19950131,0.005188
19950228,0.004816
19950331,0.005096
19950428,0.004629
19950531,0.00549
19950630,0.005136
19950731,0.004856
19950831,0.005051
19950929,0.004328
19951031,0.004808
19951130,0.004469
19951229,0.005418
19960131,0.004883
19960229,0.00398
19960329,0.003719
19960430,0.004557
19960531,0.004414
19960628,0.004102
19960731,0.004798
19960830,0.004506
19960930,0.004822
19961031,0.004262
19961129,0.004227
19961231,0.004577
19970131,0.004517
19970228,0.003902
19970331,0.004282
19970430,0.004844
19970530,0.004837
19970630,0.004228
19970731,0.00453
19970829,0.004337
19970930,0.004863
19971031,0.004169
19971128,0.003986
19971231,0.005112
19980130,0.004677
19980227,0.003693
19980331,0.004878
19980430,0.004626
19980529,0.004217
19980630,0.004381
19980731,0.004372
19980831,0.00451
19980930,0.005102
19981030,0.003809
19981130,0.003565
19981231,0.003951
19990129,0.003572
19990226,0.003042
19990331,0.004331
19990430,0.003557
19990528,0.003504
19990630,0.004475
19990730,0.004142
19990831,0.00417
19990930,0.004565
19991029,0.00394
19991130,0.004302
19991231,0.004551
20000131,0.004339
20000229,0.004262
20000331,0.004793
20000428,0.004941
20000531,0.006164
20000630,0.004348
20000731,0.004468
20000831,0.005156
20000929,0.005281
20001031,0.005153
20001130,0.005308
20001229,0.005512
20010131,0.0069
20010228,0.003967
20010330,0.004678
20010430,0.00447
20010531,0.003911
20010629,0.003001
20010731,0.003305
20010831,0.003284
20010928,0.004224
20011031,0.002545
20011130,0.002106
20011231,0.001592
20020131,0.001328
20020228,0.001435
20020328,0.001273
20020430,0.002003
20020531,0.00162
20020628,0.001447
20020731,0.001526
20020830,0.001374
20020930,0.001651
20021031,0.001475
20021129,0.001557
20021231,0.001199
