year,month,data
1986,12,507.945
1987,1,576.344
1987,2,599.118
1987,3,616.404
1987,4,610.931
1987,5,616.228
1987,6,647.347
1987,7,680.140
1987,8,705.518
1987,9,690.051
1987,10,541.440
1987,11,496.820
1987,12,534.616
1988,1,557.103
1988,2,583.072
1988,3,565.059
1988,4,571.309
1988,5,576.251
1988,6,602.695
1988,7,600.410
1988,8,580.026
1988,9,604.738
1988,10,621.576
1988,11,612.718
1988,12,623.407
1989,1,669.058
1989,2,652.385
1989,3,667.604
1989,4,702.266
1989,5,730.679
1989,6,726.534
1989,7,792.134
1989,8,807.619
1989,9,804.342
1989,10,785.666
1989,11,801.689
1989,12,820.941
1990,1,765.826
1990,2,775.690
1990,3,796.245
1990,4,776.380
1990,5,852.081
1990,6,846.333
1990,7,843.619
1990,8,767.364
1990,9,730.020
1990,10,726.911
1990,11,773.899
1990,12,795.457
1991,1,830.099
1991,2,889.464
1991,3,911.003
1991,4,913.159
1991,5,952.553
1991,6,908.913
1991,7,951.277
1991,8,973.815
1991,9,957.518
1991,10,970.391
1991,11,931.292
1991,12,1037.800
1992,1,1018.461
1992,2,1031.650
1992,3,1011.586
1992,4,1041.338
1992,5,1046.443
1992,6,1030.875
1992,7,1072.988
1992,8,1051.028
1992,9,1063.379
1992,10,1067.052
1992,11,1103.386
1992,12,1116.927
1993,1,1126.211
1993,2,1141.561
1993,3,1165.647
1993,4,1137.472
1993,5,1167.900
1993,6,1171.320
1993,7,1166.609
1993,8,1210.873
1993,9,1201.587
1993,10,1226.443
1993,11,1214.738
1993,12,1229.425
1994,1,1271.222
1994,2,1236.718
1994,3,1182.801
1994,4,1197.969
1994,5,1217.629
1994,6,1187.782
1994,7,1226.786
1994,8,1277.083
1994,9,1245.854
1994,10,1273.843
1994,11,1227.446
1994,12,1245.659
1995,1,1277.963
1995,2,1327.767
1995,3,1366.946
1995,4,1407.198
1995,5,1463.440
1995,6,1497.432
1995,7,1547.091
1995,8,1550.981
1995,9,1616.436
1995,10,1610.658
1995,11,1681.363
1995,12,1713.749
1996,1,1772.079
1996,2,1788.509
1996,3,1805.724
1996,4,1832.347
1996,5,1879.602
1996,6,1886.773
1996,7,1803.415
1996,8,1841.456
1996,9,1945.102
1996,10,1998.750
1996,11,2149.829
1996,12,2107.231
1997,1,2238.881
1997,2,2256.428
1997,3,2163.715
1997,4,2292.885
1997,5,2432.485
1997,6,2541.465
1997,7,2743.683
1997,8,2589.977
1997,9,2731.821
1997,10,2640.585
1997,11,2762.825
1997,12,2810.273
1998,1,2841.357
1998,2,3046.290
1998,3,3202.286
1998,4,3234.503
1998,5,3178.909
1998,6,3308.033
1998,7,3272.807
1998,8,2799.633
1998,9,2978.980
1998,10,3221.295
1998,11,3416.531
1998,12,3613.409
1999,1,3764.508
1999,2,3647.511
1999,3,3793.443
1999,4,3940.345
1999,5,3847.300
1999,6,4060.816
1999,7,3934.018
1999,8,3914.555
1999,9,3807.242
1999,10,4048.167
1999,11,4130.458
1999,12,4373.726
2000,1,4153.979
2000,2,4075.346
2000,3,4474.033
2000,4,4339.428
2000,5,4250.396
2000,6,4355.181
2000,7,4287.092
